,NOM_COMUNA,AREA_KM2,SUPERFICIE AREAS VERDES,prekinder niños,prekinder niñas,prekinder total,kinder niños,kinder niñas,kinder total,1 basico niños,1 basico niñas,1 basico total,5 basico niños,5 basico niñas,5 basico total,1 medio niños,1 medio niñas,1 medio total,TOTAL TRANSFERIDO 2018,Ratio areas verdes
0,LAS CONDES,99.04110222367845,1381142.7809467271,0.17419354838709677,0.12830188679245283,0.15304347826086956,0.20238095238095238,0.12802768166089964,0.168,0.24347826086956523,0.15737704918032788,0.20307692307692307,0.2485207100591716,0.16927899686520376,0.2100456621004566,0.11662531017369727,0.13246753246753246,0.12436548223350254,13.326.412,13945.14751893106
1,LO BARNECHEA,1023.1935488405625,1389800.3335349923,0.2702702702702703,0.193717277486911,0.23138297872340424,0.25405405405405407,0.17972350230414746,0.21393034825870647,0.21226415094339623,0.1890547263681592,0.2009685230024213,0.28,0.1708542713567839,0.22556390977443608,0.11235955056179775,0.13559322033898305,0.12394366197183099,13.224.778,1358.2966146628391
2,VITACURA,28.417034001679127,1575789.4455906139,0.20481927710843373,0.2727272727272727,0.2375,0.18604651162790697,0.10465116279069768,0.14534883720930233,0.102803738317757,0.056179775280898875,0.08163265306122448,0.13253012048192772,0.05555555555555555,0.09248554913294797,0.014492753623188406,0.05952380952380952,0.0392156862745098,7.113.504,55452.28420029699
3,HUECHURABA,44.89830154950238,1128287.183289956,0.26223776223776224,0.25390625,0.25830258302583026,0.3062730627306273,0.22962962962962963,0.2680221811460259,0.23300970873786409,0.18454935622317598,0.2072892938496583,0.3092369477911647,0.20866141732283464,0.2584493041749503,0.11702127659574468,0.1414141414141414,0.12953367875647667,16.715.106,25129.841093119507
4,PUDAHUEL,197.25832930228034,1431140.557076112,0.27783669141039236,0.20608439646712462,0.24057084607543322,0.2534690101757632,0.2050799623706491,0.2294776119402985,0.2663677130044843,0.20124113475177305,0.2336156932679447,0.35426889106967613,0.22914669223394055,0.2909796314258002,0.0975609756097561,0.09395973154362416,0.09584664536741214,18.453.038,7255.15907053547
5,QUILICURA,57.32133328389449,841337.3293755599,0.2647058823529412,0.20422535211267606,0.2353515625,0.27927927927927926,0.2160377358490566,0.24838709677419354,0.21222410865874364,0.15627822944896116,0.1851203501094092,0.26118721461187216,0.14909781576448244,0.20623836126629422,0.11195652173913044,0.12247071352502663,0.1172673480365788,16.381.103,14677.560363236518
6,CERRILLOS,16.779649598219994,1077402.53980309,0.24345549738219896,0.20760233918128654,0.2265193370165746,0.24517906336088155,0.18429003021148035,0.21613832853025935,0.2520491803278688,0.23588039867109634,0.2458808618504436,0.3119266055045872,0.20132013201320131,0.2665764546684709,0.12041884816753927,0.16759776536312848,0.1354723707664884,15.951.816,64208.88192548325
7,LO ESPEJO,8.238357312517799,427855.3653193171,0.21354166666666666,0.17176470588235293,0.1915945611866502,0.2539325842696629,0.2017738359201774,0.22767857142857142,0.29338842975206614,0.2399193548387097,0.26632653061224487,0.34564643799472294,0.2394736842105263,0.2924901185770751,0.2191780821917808,0.16666666666666666,0.1938534278959811,0,51934.54824655528
8,MAIPÚ,137.67613077361324,2842013.1556428084,0.25253807106598986,0.2,0.22715347616965456,0.27505486466715434,0.19725818735719725,0.23694029850746268,0.26079896070152647,0.2006568144499179,0.23089483997387328,0.29732510288065844,0.1712305025996534,0.23461472159972419,0.12433862433862433,0.1045021360499507,0.11438931926817208,22.479.781,20642.744240946548
9,EL BOSQUE,14.32440192177258,323799.77668026095,0.25590955806783144,0.23340248962655602,0.2447083118224058,0.27107887579329104,0.2206959706959707,0.2460136674259681,0.2964396284829721,0.22641509433962265,0.26170046801872077,0.3327541268462207,0.2026086956521739,0.267709691438505,0.14963503649635038,0.14377682403433475,0.14652223489167618,19.774.809,22604.767616028483
